Mina,Regiao,Altitude,Ordem,Tipo,Massa,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,independente_,UML_,ORDEM_
Mina_1,Regiao_3,50,2,2,12331,61.141865,22.060335000000002,16.797783,64.172668,3.857072,0.07125,1.46756,0.649522,1.797043,66.41998000000001,1.5400280000000002,0.066778,0.983685,0.515971,1.552526,64.251132,3.093843,0.079488,1.624925,0.9302790000000001,1.937455,55.88957956,13.29320002,0.076657411,3.022116305,0.7666774820000001,2.5026529440000003,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#2,55
Mina_1,Regiao_3,50,2,4,21551,27.4484,17.636587,54.91500500000001,44.547446,33.993134999999995,0.027485000000000002,1.016381,0.352636,0.8823700000000001,59.428948999999996,12.804933,0.031081,0.630249,0.47760600000000003,0.8848940000000001,57.846805,14.006844000000001,0.040493,1.069625,0.689615,1.228535,32.83789357,51.002598299999995,0.021452932999999997,1.1923242090000001,0.181959147,0.7699682790000001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#2,56
Mina_1,Regiao_3,50,3,1,20232,13.124129,11.037384,32.15853,20.025509,24.799128,0.021325,0.8752409999999999,0.728545,0.876733,44.325439,30.287768,0.032669,1.357501,2.215574,1.751211,48.017299,25.64842,0.034026999999999995,1.321823,1.9860389999999999,1.562798,27.70128869,55.95160224,0.041276529,1.713955035,0.6796885840000001,1.475229544,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#3,57
Mina_1,Regiao_3,50,3,2,100735,41.38641276,25.61117189,33.00237585,63.01661609999999,2.508233444,0.10698275,2.065580212,0.83773979,3.8661625269999997,43.93518549,1.291214294,0.097640301,1.152177391,0.86239071,3.4897972960000003,97.0088281,2.947004816,0.150305217,2.85882953,1.071445812,5.140641572,50.61752133,16.94781332,0.10646522300000001,3.278249018,1.861942105,4.314512306,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#3,58
Mina_1,Regiao_3,50,5,1,67938,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#5,59
Mina_1,Regiao_3,50,5,2,107546,32.00863005,34.70594620000001,33.28545195,64.65896749,2.149950656,0.064718501,1.869082965,0.45162105799999996,2.42085534,64.51099807,1.5566398730000002,0.086590755,1.510146683,0.610034627,3.258055732,65.51019996,1.710108385,0.055566736,1.5216175109999999,0.407868894,1.995749849,63.91372858,3.1791270330000003,0.053207917,2.576530826,0.34493996600000004,2.058993342,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#5,60
Mina_1,Regiao_3,50,6,1,97655,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#6,61
Mina_1,Regiao_3,50,6,2,103676,35.296906,30.246205,34.456918,64.454199,2.3420009999999998,0.06243099999999999,2.1080919999999996,0.338954,2.499795,65.265999,1.359802,0.076013,1.469583,0.402537,2.736212,65.418233,1.787404,0.058864,1.669039,0.256413,2.207596,62.77641384,3.834984215,0.051656180999999995,3.147580332,0.34627242799999997,2.514074657,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#6,62
Mina_1,Regiao_3,50,7,1,173477,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#7,63
Mina_1,Regiao_3,50,7,2,3779,69.80058199999999,20.529026,9.670391,65.466329,1.784128,0.060677999999999996,1.540758,0.8445729999999999,1.4650239999999999,66.739938,1.148182,0.061893,0.9989530000000001,0.6375270000000001,1.0694709999999998,64.711185,1.6359489999999999,0.054234000000000004,1.934092,1.176013,1.9434369999999999,57.87670491,6.688910579,0.065295883,4.616305815,1.635460748,3.304575455,100,Mina_1#Regiao_3,Mina_1#Regiao_3#50#7,64
Mina_1,Regiao_3,40,2,1,15887,13.020201,19.461112,67.51869,36.170962,44.494498,0.027861,1.313479,0.848834,1.128113,44.488132,31.333189,0.030788999999999997,0.830377,1.604344,1.3117459999999999,50.409867999999996,23.625749,0.027435,0.9300940000000001,1.6456650000000002,1.1280270000000001,30.46297017,53.04756356,0.027444136,1.5171270609999998,0.47344839899999996,1.092700633,100,Mina_1#Regiao_3,Mina_1#Regiao_3#40#2,65
